Time,V1,V2,V3,V4,Amount,Class
0,-1.3598,1.1918,2.5363,1.3781,149.62,0
1,1.1918,0.2661,0.1664,0.4481,2.69,0
2,-1.3583,-1.3401,2.0508,-0.0823,378.66,0
3,-0.9662,1.2162,1.9335,0.2718,123.5,0
4,1.1582,0.8777,0.8177,0.3992,3.67,0
5,1.2427,-0.5363,0.5654,-0.4397,3.67,0
6,0.5123,0.1234,0.5432,0.1234,45.0,0
7,-0.5432,1.2345,0.4321,1.2345,10.0,0
8,1.2345,-0.1234,0.1234,-0.5432,120.0,1
9,0.1234,1.2345,-0.5432,1.2345,200.0,0
10,1.5432,-0.4321,0.1234,0.1234,5.0,0
11,-1.1234,-1.2345,1.2345,0.1234,500.0,0
12,0.1234,-0.1234,-0.1234,1.5432,1000.0,1
13,1.1234,1.1234,0.1234,0.1234,15.0,0
14,-0.1234,0.1234,1.1234,1.1234,25.0,0
15,0.1234,1.1234,0.1234,-1.1234,60.0,0
16,1.2345,-0.5432,0.5432,0.5432,80.0,0
17,-1.5432,0.1234,-0.1234,1.2345,150.0,0
18,0.5432,1.2345,1.2345,-0.1234,10.0,0
19,1.1234,-1.1234,-1.1234,0.5432,300.0,1
20,-0.5432,0.5432,0.5432,1.1234,12.0,0
